date,光,前日价格,太阳辐射预测,新能源,新能源差分,时间,次日东送,正备用,温度预测10,火电竞价空间,火电竞价空间差分,系统负荷,降水预测,非市场,风,风速预测50,实时价格
2022/6/1 0:00,75.3725,,,1616.77,0,1,705.7575,4673.74,,23875.49,0,30834.7,,6048.1975,1541.3975,,407.882
2022/6/1 1:00,74.52,,,1822.6675,205.8975,2,752.4125,4608.43,,23270.9975,-604.4925,30430.825,,6089.5725,1748.1475,,387.561
2022/6/1 2:00,74.605,,,1533.94,-288.7275,3,717.915,5069.675,,23577.5375,306.54,30449.425,,6055.8625,1459.335,,361.58
2022/6/1 3:00,74.66,,,1221.28,-312.66,4,743.585,5441.5925,,23836.3325,258.795,30448.8,,6134.7725,1146.62,,382.338
2022/6/1 4:00,73.29,,,1478.5675,257.2875,5,774.495,5579.2675,,23681.0575,-155.275,30370.275,,5985.145,1405.2775,,386.431
2022/6/1 5:00,181.9525,,,2114.3125,635.745,6,771.1275,5477.04,,23257.1875,-423.87,30568.875,,5968.5025,1932.36,,364.573
2022/6/1 6:00,786.105,,,3178.4275,1064.115,7,708.6575,5084.2575,,22681.1725,-576.015,31226.9,,6075.9575,2392.3225,,353.335
2022/6/1 7:00,2438.915,,,4917.02,1738.5925,8,1003.605,5120.0375,,21150.2525,-1530.92,31440.65,,6376.9825,2478.105,,335.116
2022/6/1 8:00,4334.22,,,7221.565,2304.545,9,1370.8,5831.4475,,18933.5575,-2216.695,31508.65,,6724.3275,2887.345,,350
2022/6/1 9:00,5715.705,,,8963.9875,1742.4225,10,1534.95,5973.33,,17533.4425,-1400.115,31770.375,,6807.895,3248.2825,,341.286
2022/6/1 10:00,6749.03,,,9822.0875,858.1,11,1506.8275,6279.29,,16951.3925,-582.05,32100.075,,6833.4225,3073.0575,,333.731
2022/6/1 11:00,7360.2725,,,10226.9375,404.85,12,1274.725,6797.255,,16428.845,-522.5475,32296.4,,6915.3425,2866.665,,350.892
2022/6/1 12:00,7534.205,,,10325.45,98.5125,13,1113.43,7505.6925,,15421.7775,-1007.0675,31578,,6944.2025,2791.245,,349.417
2022/6/1 13:00,7334.005,,,10123.9775,-201.4725,14,1138.955,7482.2525,,15408.6125,-13.165,31282.925,,6889.29,2789.9725,,349.634
2022/6/1 14:00,6784.8925,,,9574.4825,-549.495,15,1143.29,7173.66,,16347.8425,939.23,31586.2,,6807.165,2789.59,,346.502
2022/6/1 15:00,5779.115,,,8549.68,-1024.8025,16,1073.86,6988.67,,17609.715,1261.8725,31717.525,,6631.99,2770.565,,362.609
2022/6/1 16:00,4296.5125,,,6969.975,-1579.705,17,1334.2625,5580.2925,,20039.4825,2429.7675,32118.625,,6443.43,2673.4625,,352.022
2022/6/1 17:00,2502.9325,,,5034.1875,-1935.7875,18,1402.3875,3930.6125,,22208.9425,2169.46,31994.95,,6154.2075,2531.255,,392.739
2022/6/1 18:00,918.21,,,3020.1375,-2014.05,19,1475.9825,3277.7625,,23794.2675,1585.325,32173.05,,6834.6275,2101.9275,,428.997
2022/6/1 19:00,239.8825,,,2056.18,-963.9575,20,1518.525,2654.43,,24293.945,499.6775,32330.125,,7498.525,1816.2975,,535.625
2022/6/1 20:00,92.785,,,2268.755,212.575,21,1280.62,2407.97,,24307.825,13.88,32682,,7386.04,2175.97,,457.632
2022/6/1 21:00,80.57,,,2304.28,35.525,22,1043.785,2409.895,,24061.7925,-246.0325,32769.6,,7447.3125,2223.71,,468.957
2022/6/1 22:00,79.0125,,,1967.9125,-336.3675,23,891.46,2982.0175,,23459.2125,-602.58,32060.525,,7524.86,1888.9,,402.66
2022/6/1 23:00,78.31,,,1784.42,-183.4925,24,746.0025,3851.9475,,22732.2225,-726.99,31281.35,,7510.71,1706.11,,381.849
2022/6/2 0:00,75.96,,,1830.2175,45.7975,1,679.2175,5264.29,,22376.37,-355.8525,30838.625,,7311.255,1754.2575,,619.814
2022/6/2 1:00,83.42,,,1930.26,100.0425,2,787.9475,5954.9425,,22885.435,509.065,30731.85,,6704.1025,1846.84,,627.323
2022/6/2 2:00,86.905,,,2483.865,553.605,3,764.9125,6623.3775,,22821.3925,-64.0425,30720.8,,6180.455,2396.96,,632.193
2022/6/2 3:00,86.3725,,,2948.965,465.1,4,728.9425,7282.4675,,22367.755,-453.6375,30527.8,,5940.0225,2862.5925,,626.901
2022/6/2 4:00,85.44,,,3341.935,392.97,5,668.2825,7433.0025,,22081.68,-286.075,30589.675,,5834.3425,3256.495,,625.107
2022/6/2 5:00,209.4825,,,4154.4175,812.4825,6,784.5375,7187.79,,21495.5,-586.18,30721.025,,5855.645,3944.935,,624.313
2022/6/2 6:00,848.9825,,,5211.1325,1056.715,7,771.4475,7148.795,,21010.7125,-484.7875,31404.925,,5954.5275,4362.15,,624.472
2022/6/2 7:00,2085.9875,,,6141.3725,930.24,8,964.2925,7301.7225,,20302.53,-708.1825,31612.275,,6132.665,4055.385,,599.898
2022/6/2 8:00,3506.115,,,8164.675,2023.3025,9,1296.425,8643.795,,18430.28,-1872.25,31744.3,,6445.77,4658.56,,470.194
2022/6/2 9:00,4586.985,,,9862.9425,1698.2675,10,1526.4575,9927.875,,16722.15,-1708.13,31657.15,,6598.515,5275.9575,,392.723
2022/6/2 10:00,5704.65,,,10196.395,333.4525,11,1460.84,9907.865,,16464.6825,-257.4675,32002.3,,6802.0625,4491.745,,371.104
2022/6/2 11:00,6455.245,,,10608.77,412.375,12,1343.365,10421.695,,16013.9325,-450.75,32158.025,,6878.6875,4153.525,,371.924
2022/6/2 12:00,6401.99,,,10906.64,297.87,13,1107.395,11359.02,,14909.77,-1104.1625,31539.375,,6830.36,4504.65,,369.969
2022/6/2 13:00,5892.11,,,11033.3025,126.6625,14,1091.6025,11635.1075,,14689.415,-220.355,31315.6,,6684.485,5141.1925,,366.155
2022/6/2 14:00,4953.455,,,11189.5075,156.205,15,1161.1025,11086.5875,,15078.655,389.24,31576.175,,6469.115,6236.0525,,371.12
2022/6/2 15:00,3517.24,,,10736.095,-453.4125,16,1093.755,9782.1975,,16160.7475,1082.0925,31917.15,,6114.0625,7218.855,,383.599
2022/6/2 16:00,2453.375,,,10531.835,-204.26,17,1375.085,7291.66,,16968.5475,807.8,32212.825,,6087.5275,8078.46,,408.71
2022/6/2 17:00,1217.9925,,,9832.05,-699.785,18,1442.2675,4632.2175,,17797.5375,828.99,32101.225,,5913.905,8614.0575,,432.44
2022/6/2 18:00,528.9275,,,8437.18,-1394.87,19,1450.34,3070.12,,19246.9225,1449.385,32105.3,,5871.5375,7908.2525,,502.039
2022/6/2 19:00,100.1825,,,6761.4775,-1675.7025,20,1502.345,3029.0625,,20956.3,1709.3775,32144,,5928.5675,6661.295,,602.787
2022/6/2 20:00,4.375,,,6012.3075,-749.17,21,1280.67,3550.4125,,21909.055,952.755,32570.5,,5929.8075,6007.9325,,633.373
2022/6/2 21:00,0.5025,,,6648.34,636.0325,22,1158.695,4677.975,,21190.9025,-718.1525,32706.275,,6025.7275,6647.8375,,638.602
2022/6/2 22:00,0.6225,,,7602.9675,954.6275,23,906.335,6125.6425,,19076.2775,-2114.625,31858.4,,6085.49,7602.345,,574.778
2022/6/2 23:00,0.485,,,8664.835,1061.8675,24,800.49,7852.2,,17209.3275,-1866.95,31082.1,,6008.4275,8664.35,,407.946
2022/6/3 0:00,0.605,407.882,,8225.285,-439.55,1,811.465,7937.095,,17137.9575,-71.37,30576.225,,6024.4475,8224.68,,453.9
2022/6/3 1:00,0.5325,387.561,,8058.4575,-166.8275,2,670.9225,7661.1575,,17017.665,-120.2925,30389.8,,5984.6,8057.925,,428.243
2022/6/3 2:00,0.63,361.58,,7882.975,-175.4825,3,746.5625,7552.14,,17218.4925,200.8275,30346.75,,5991.845,7882.345,,425.696
2022/6/3 3:00,0.5,382.338,,7481.825,-401.15,4,774.625,7454.0325,,17334.31,115.8175,30227.925,,6186.415,7481.325,,435.214
2022/6/3 4:00,0.8725,386.431,,6598.855,-882.97,5,723.715,7357.97,,18289.7825,955.4725,30335.025,,6170.1025,6597.9825,,435.267
2022/6/3 5:00,73.175,364.573,,5983.275,-615.58,6,748.61,6986.905,,19199.4175,909.635,30606.425,,6172.3425,5910.1,,492.396
2022/6/3 6:00,523.1075,353.335,,6002.6675,19.3925,7,834.8075,5776.1175,,19583.3125,383.895,31145.275,,6394.1025,5479.56,,518.728
2022/6/3 7:00,1466.9375,335.116,,6740.505,737.8375,8,909.535,5669.245,,19302.29,-281.0225,31537.975,,6404.715,5273.5675,,498.252
